status_auditoria,codigo,descricao,categoria,tipo_embalagem,fator_resolvido,metadado_ignorado,divergencia_visual,saldo_base_ledger,saldo_fisico_total,estoque_embalagens,estoque_unidades_soltas,embalagens_esperadas_ledger,soltas_esperadas_ledger
metadado_ignorado_desalinhado,7891114029925,JOGO DE CHAVE DE FENDA 6 PEÇAS,Ferramentas,pacote,6.0,sim,sim,71.0,71.0,12.0,0.0,11.0,5.0
fator_nao_resolvido,07892904021716,BARRAMENTOS IEC CURTO TERMINAL COM PINO TCC 25,Material Elétrico,pacote,0.0,nao,sim,1.0,1.0,0.0,0.0,,
fator_nao_resolvido,7898214962961,"TP-2322 PRÉ-ISOLADO 23MM 1,5-2,5MM 27A AZUL",Material Elétrico,pacote,0.0,nao,sim,1.0,1.0,0.0,0.0,,
fator_nao_resolvido,7898927870669,JOGO DE SERRA COPO 11PEÇAS,Ferramentas,caixa,0.0,sim,nao,0.0,0.0,0.0,0.0,,
fator_nao_resolvido,CABO-RG6-001,Cabo Coaxial RG6 Preto,Material Elétrico,rolo,0.0,nao,nao,0.0,0.0,0.0,0.0,,
fator_nao_resolvido,UYLN30460,SUPORTE DE PAREDE SUPER ADERENTE,Material/Uso geral,pacote,0.0,nao,sim,10.0,10.0,0.0,0.0,,
metadado_ignorado_alinhado,7891504352909,JOGO DE CHAVE DE FENDA ISOLADAS 1000V,Ferramentas,caixa,6.0,sim,sim,18.0,18.0,3.0,0.0,3.0,0.0
metadado_ignorado_alinhado,7899612702524,JOGO DE CHAVE ALLEN LONGA,Ferramentas,pacote,9.0,sim,sim,63.0,63.0,7.0,0.0,7.0,0.0
divergencia_esperada,07898936842022,"PARAFUSO DRYWALL CAB. TROMB 35X3,5MM",Mat. Pintura e Drywall,caixa,500.0,nao,sim,1.0,1.0,0.0,1.0,0.0,1.0
divergencia_esperada,100L,SACO LIXO 100 LITROS,Materiais de Limpeza,pacote,100.0,nao,sim,4700.0,4700.0,47.0,0.0,47.0,0.0
divergencia_esperada,1299433002791,FOSCO AREIA 18L,Mat. Pintura e Drywall,lata,18.0,nao,sim,18.0,18.0,1.0,0.0,1.0,0.0
divergencia_esperada,200L,SACO LIXO 200 LITROS,Materiais de Limpeza,pacote,100.0,nao,sim,7000.0,7000.0,70.0,0.0,70.0,0.0
divergencia_esperada,300L,SACO LIXO 300 LITROS,Materiais de Limpeza,pacote,100.0,nao,sim,13600.0,13600.0,136.0,0.0,136.0,0.0
divergencia_esperada,60L,SACO DE LIXO 60L,Materiais de Limpeza,pacote,100.0,nao,sim,1700.0,1700.0,17.0,0.0,17.0,0.0
divergencia_esperada,751320017536,DICLORO ORGÂNICO - MULTI 10Kg,Material Piscina,balde,10.0,nao,sim,36.0,36.0,3.0,6.0,3.0,6.0
divergencia_esperada,751320017543,DICLORO ESTABILIZANTE PREMIUM 10Kg,Material Piscina,balde,10.0,nao,sim,45.0,45.0,4.0,5.0,4.0,5.0
divergencia_esperada,7891035919787,FRESHMATIC SPRAY AUTOMÁTICO,Materiais de Limpeza,caixa,2.0,nao,sim,10.0,10.0,5.0,0.0,5.0,0.0
