product_id,description,legacy_balance,ledger_balance,stock_balance,delta_legacy_vs_ledger,delta_ledger_vs_cache,document_only_balance
7898936842060,"PARAFUSO DRYWALL 25X3,5MM",-992305.0,1700.0,1700.0,994005.0,0.0,0.0
7899682763500,PAPEL TOALHA INTERFOLHAS,4844.0,124000.0,124000.0,119156.0,0.0,385000.0
7892183700999,"PARAFUSO DRYWALL 3,5X25MM",-318.0,2680.0,2680.0,2998.0,0.0,1000.0
200L,SACO LIXO 200 LITROS,6972.0,4200.0,4200.0,-2772.0,0.0,14000.0
7898505140238,COPO DESCARTÁVEL  200ML,2129.0,100.0,100.0,-2029.0,0.0,12500.0
789987456654002,"TERMINAL TUBULAR SIMPLES 1,5MM PRETO",0.0,2000.0,2000.0,2000.0,0.0,4000.0
789987456654003,"TERMINAL TUBULAR SIMPLES 2,5MM AZUL",-42.0,1958.0,1958.0,2000.0,0.0,4000.0
7892183267997,"PARAFUSO DRYWALL 3,5X35MM",-297.0,1701.0,1701.0,1998.0,0.0,0.0
7898493210203,BUCHA SF 6,2.0,2000.0,2000.0,1998.0,0.0,0.0
7898493212306,BUCHA FLY 3 P/ DRYWALL,3.0,1898.0,1898.0,1895.0,0.0,1650.0
100L,SACO LIXO 100 LITROS,3484.0,1900.0,1900.0,-1584.0,0.0,4000.0
7896603807831,FITA CREPE VERDE 48MMX40M,-18.0,1560.0,1560.0,1578.0,0.0,2280.0
7891960829687,FITA VEDA ROSCA 18X50mm,-65.0,1350.0,1350.0,1415.0,0.0,1750.0
60L,SACO DE LIXO 60L,1288.0,100.0,100.0,-1188.0,0.0,4300.0
7898180829107,PAPEL HIGIÊNICO XANDY,-216.0,935.0,935.0,1151.0,0.0,1920.0
7908467200380,FITA DUREX TRANSPARENTE 45X100M,-15.0,1000.0,1000.0,1015.0,0.0,2500.0
7898493210227,BUCHA SF8,2.0,1000.0,1000.0,998.0,0.0,0.0
7898493210982,"ABRAÇADEIR NYLON 2,5X100",-106.0,790.0,790.0,896.0,0.0,0.0
7898494150683,FITA ZEBRADA 70X200m,4.0,805.0,805.0,801.0,0.0,1000.0
300L,SACO LIXO 300 LITROS,992.0,200.0,200.0,-792.0,0.0,14000.0
7908467201257,FITA CREPE 48mmX50M,1136.0,450.0,450.0,-686.0,0.0,0.0
7898259251839,FIO FLEXSÍVEL 1.5MM PRETO,-298.0,301.0,301.0,599.0,0.0,500.0
7892261065835,PARAFUSO N8,-40.0,558.0,558.0,598.0,0.0,0.0
7892261068706,"PARAFUSO FLANGEADO 4,5X45MM PHILLIPS",-6.0,592.0,592.0,598.0,0.0,0.0
7898493210234,BUCHA SF10,-4.0,494.0,494.0,498.0,0.0,0.0
7898159800083,FITA VEDA ROSCA 18X50mm,-10.0,450.0,450.0,460.0,0.0,0.0
789987456654101,BAMBU RACHADO (2 METROS,-432.0,0.0,0.0,432.0,0.0,480.0
7891040105502,FITA ISOLANTE IMPERIAL 18X20M,-10.0,400.0,400.0,410.0,0.0,600.0
7898259251921,FIO FLEXSÍVEL  2.5MM PRETO,-108.0,300.0,300.0,408.0,0.0,2100.0
WEUV20759,FITA ANTIDERRAPANTE 20M,-52.0,350.0,350.0,402.0,0.0,440.0
7893590283037,ABRAÇADEIRA DE NYLON BRANCA 2.5X200,4.0,400.0,400.0,396.0,0.0,0.0
7893590283136,ABRAÇADEIRA DE NYLON BRANCA 4.8X300,-96.0,300.0,300.0,396.0,0.0,0.0
7898632121001,DUTO CORRUGADO 3/4'' 50MM,-4.5,346.5,346.5,351.0,0.0,400.0
7891040004416,FITA ISOLANTE SCOTCH 20M,237.0,580.0,580.0,343.0,0.0,400.0
7898936842053,PARAFUSO 4.2X13MM,1664.0,1995.0,3664.0,331.0,1669.0,2000.0
7898453065331,CAIXA DE CABO DE REDE,-317.0,0.0,0.0,317.0,0.0,3965.0
7893590283693,ABRAÇADEIRA DE NYLON 7.6X400,16.0,320.0,320.0,304.0,0.0,0.0
7898259251808,FIO FLEXSÍVEL 1.5MM VERMELHO,-2.0,300.0,300.0,302.0,0.0,500.0
7898493211187,"ABRAÇADEIRA NYLON 7,0X400",-299.0,0.0,0.0,299.0,0.0,0.0
7893590283082,ABRAÇADEIRA DE NYLON BRANCA 3.6X300,3.0,300.0,300.0,297.0,0.0,0.0
7897637126240,BUCHA FLY 1 P/DRYWALL,-25.0,272.0,272.0,297.0,0.0,0.0
7898493211064,"ABRAÇADEIRA NYLON 3,5X200",-196.0,100.0,100.0,296.0,0.0,0.0
7898964130030,PEGA RATO,3.0,262.0,262.0,259.0,0.0,0.0
7898493212313,BUCHA FLY 4 P/DRYWALL,5.0,250.0,250.0,245.0,0.0,0.0
7898258651005,"ROLO DE CABO FLEX 1,5 BRANCO 100Metros",-197.0,1.0,1.0,198.0,0.0,0.0
7898472262513,FITA CREPE 48X50M,404.0,208.0,208.0,-196.0,0.0,0.0
4055143234658,CONECTOR WAGO 415  -  5 VIAS,-34.0,141.0,141.0,175.0,0.0,375.0
7897432700676,PASTILHA DE CLORO TRIPLA AÇÃO 200g,-57.0,116.19999999999999,113.0,173.2,-3.1999999999999886,182.0
295082055363,TEXTURA RAFIATTO RÚSTICO ACRÍLICO,-3.0,168.0,168.0,171.0,0.0,240.0
7896155116405,TEXTURA ACRÍLICA LISA 23KG,88.0,250.0,250.0,162.0,0.0,309.0
78998745600200,ARGAMASSA PISO SOBRE PISO 20KG,8.0,160.0,160.0,152.0,0.0,0.0
7898191707746,EASYFRESH FACILITADOR P/PASSAR ROUPAS 1L,-117.0,11.0,11.0,128.0,0.0,130.0
7891323004904,MASSA ACRÍLICA 25KG,19.0,145.0,145.0,126.0,0.0,150.0
260133094073,TEXTURA QUARTZO HIDRO REPELENTE,-1.0,115.0,115.0,116.0,0.0,368.0
7898259251884,FIO FLEXSÍVEL 2.5MM AZUL,-10.0,100.0,100.0,110.0,0.0,1103.0
78998745600201,BRITA 01 SACO 5KG,120.0,230.0,230.0,110.0,0.0,280.0
4058075783904,LAMPADA LUZ FRIA 9W 60W,-94.0,8.0,8.0,102.0,0.0,0.0
7897432702021,CLORO GRANULADO SMART 10KG,-86.0,16.0,16.0,102.0,0.0,120.0
7891323088072,MASSA CORRIDA 25KG,65.499876,166.499876,166.499876,101.0,0.0,225.0
7898911729997,"CONDUITE CORRUGADO 3/4""",187.4,288.4,288.4,100.99999999999997,0.0,300.0
78998745665421,"TERMINAL GARFO 2,5MM VERMELHO",0.0,100.0,100.0,100.0,0.0,300.0
7899772604560,ROLO DE MANTA PRETA,1.0,100.0,100.0,99.0,0.0,0.0
7896637699914,CONECTOR RJ45,248.0,150.0,150.0,-98.0,0.0,500.0
17898161065224,RESPIRADOR DESCARTÁVEL CG 421 CL PFF2S EPI,-8.0,81.0,81.0,89.0,0.0,0.0
7897637118962,CHUMBADOR 5/16 X 2.1/4,68.0,145.0,145.0,77.0,0.0,125.0
7898959829468,MANTA VEDATUDO  45cmX10M,2.6999999999999993,72.0,72.0,69.3,0.0,0.0
7898924601617,PAPEL HIGIÊNICO INTERFOLHAS,69.0,0.0,0.0,-69.0,0.0,0.0
27899250604000,PILHA AA,59.0,0.0,0.0,-59.0,0.0,1.0
7896257584119,GRAFFIATO BRANCO NEVE 25KG,-2.0,50.0,50.0,52.0,0.0,100.0
7898472261936,PU40FIX CINZA 387g,-50.0,0.0,0.0,50.0,0.0,0.0
78998745600202,CIMENTO CPII 50KG,1.0,50.0,50.0,49.0,0.0,0.0
7896038108169,PU40 MULTIUSO CINZA 360g,-43.0,5.0,5.0,48.0,0.0,0.0
7897432700072,CLARIFICANTE MAXFLOC 1L,20.0,65.0,65.0,45.0,0.0,95.0
